id	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10
--
2	57,2316	75,129	90,7251	2,7719	34,3068	75,6168	96,18	63,572	77,6527	15,0453
3	6,3409	51,5522	24,1278	73,3206	92,4301	40,5526	27,6537	42,8577	97,3541	33,6215
--
5	67,0694	42,5068	70,8129	45,9728	62,3104	68,2065	78,4737	49,9672	85,7797	78,9374
6	80,6031	0,4912	70,5581	19,2003	11,2385	13,5354	67,9594	9,9986	96,6324	52,1143
7	24,6346	26,5548	92,0352	92,9429	80,5688	87,0321	49,2015	47,4115	22,7723	94,1356
8	0,0425	41,2522	93,5358	61,1983	45,0885	13,5808	18,7383	32,2734	67,2476	25,0543
9	8,567	64,5781	64,66	58,3711	73,9223	38,5662	99,6256	37,3265	83,0248	36,7213
10	45,5821	42,7482	43,5641	96,2562	3,6506	86,0958	37,0575	93,4278	3,7231	28,2765
11	71,4257	51,6993	64,386	17,6289	70,2292	67,7516	27,9144	7,8838	47,4936	58,7314
12	50,7258	34,3413	91,6087	17,5779	50,135	6,7248	65,7255	92,5738	61,0743	64,4589
13	22,2975	5,9851	12,3121	1,6356	4,5379	9,7954	81,2839	54,0816	33,0308	6,3717
14	27,2696	58,492	71,9719	40,0551	98,8273	36,2342	51,0043	27,5932	98,846	89,2392

--
17	25,0357	68,8934	34,2236	96,0117	42,9492	2,5869	72,2989	37,2987	67,5428	53,1131
18	57,3217	0,0384	62,4155	38,8578	99,3553	41,5621	48,5706	37,9409	20,7397	84,5929
--
20	0,7235	51,6045	1,2912	66,9374	8,1534	11,6072	50,7566	30,1153	75,6817	79,0716
21	84,7688	84,5444	56,6919	19,6618	62,1088	10,5664	40,0588	41,4939	73,8959	8,4851
22	48,2911	94,8095	15,8878	69,3026	66,0704	22,5766	70,7196	54,2681	43,3428	45,8232
23	28,4713	28,6662	88,6315	93,4185	64,6789	28,8919	75,5732	17,4506	41,8438	41,3727
24	66,5841	23,819	40,433	5,6182	11,0259	13,9083	37,2375	52,9354	97,4715	81,8466
25	0,8352	6,085	63,8756	71,3096	86,2702	33,0859	43,3476	36,7601	89,2563	83,0759
26	31,3219	0,4198	73,4427	32,4326	3,6172	89,3369	34,5968	27,8659	24,4999	27,0202
27	23,4958	43,5427	2,2559	92,5698	35,666	41,2957	17,3854	13,8837	60,2911	74,0595
28	84,743	65,8662	34,7974	78,3282	83,1731	14,2569	13,369	90,371	17,3323	38,533
29	54,4841	83,7924	69,6283	28,0659	3,8805	38,3874	22,2307	11,4347	31,3838	46,335

31	65,6257	65,3667	70,3016	36,7115	84,1783	81,263	2,7413	92,4544	76,3905	7,724
32	45,1977	66,2998	79,2553	28,9983	87,5543	66,3112	68,717	84,8708	75,538	2,7623
33	24,4653	59,8356	58,982	69,7669	76,9251	15,2014	11,9196	76,6317	63,1632	42,037
34	50,3851	68,8141	93,9929	94,1137	94,5989	86,186	17,3592	83,0691	21,6761	82,2831
35	84,9833	78,4684	57,2684	42,5307	53,6584	78,4076	51,4333	23,1132	67,566	33,2264
36	70,9457	32,5946	68,7129	58,889	64,3875	56,2151	73,9863	12,0599	16,3697	91,8715
37	45,4898	40,3244	57,5557	73,6658	39,2441	65,9397	8,4153	74,9642	92,8851	49,0736
38	34,1235	19,4842	25,9452	23,1901	23,0035	80,0281	76,5744	96,278	80,2291	6,2867
--
40	53,7378	9,0293	50,8448	47,701	4,8234	37,4916	42,5319	74,6208	14,5002	17,811
41	15,0409	88,2544	72,1131	3,5557	40,1596	37,9766	19,6708	16,6096	30,8484	83,6862
42	88,4529	32,0267	81,2224	22,6351	48,7376	98,938	99,95	14,5798	56,2167	29,6467
--
44	44,4035	0,2483	35,9786	76,1318	7,0124	99,7237	72,1319	62,6757	57,2926	77,3784

46	29,3159	80,1697	48,8278	98,9692	15,7539	5,3796	60,6024	74,6171	43,1422	18,5313
47	89,1156	19,0595	96,6222	31,4128	79,6141	49,6073	97,4538	46,0051	53,9327	43,0242
48	92,7646	61,5946	29,5526	80,4692	16,2989	40,9629	0,676	89,2951	27,3608	34,2779
49	56,8101	66,0712	22,6997	43,9229	47,8993	4,1609	79,5472	58,743	57,6913	22,6663
50	82,1604	95,7193	47,6612	77,1592	82,6169	28,8735	97,2925	55,8557	56,2915	11,2249
51	80,6223	16,3652	1,2375	60,4625	40,6125	29,3726	30,0469	99,4716	21,5698	85,6613
52	10,7884	12,8739	65,9903	26,8668	72,6608	6,7152	46,1081	41,0184	52,2409	94,3393
53	98,6237	17,0624	23,956	91,2325	33,7174	53,2875	0,5112	69,4686	84,0457	73,9882
54	19,6551	32,2049	5,3732	5,9147	76,5597	71,3502	10,3125	47,2495	47,9803	79,3807
55	71,7198	32,5032	2,1129	16,5574	8,0199	56,3176	84,446	74,3724	15,9038	21,3685
56	37,0685	55,3213	80,0115	76,3492	41,6969	92,705	94,0236	30,416	27,2222	77,8047
57	92,4969	47,9223	41,2269	72,3337	45,0178	18,0417	67,3101	70,9915	18,0187	27,5483
58	26,8511	31,085	96,4374	18,6441	50,2725	34,2639	72,5651	55,4624	78,1601	68,0199
59	12,6761	82,239	60,0848	55,1942	69,0106	8,8606	86,7343	68,9869	16,0248	58,95

61	79,1686	75,0507	49,6365	21,8663	30,2534	37,479	5,1135	9,7286	17,0164	53,6254
62	34,9597	97,7714	41,5582	92,2783	99,8428	73,4468	79,8927	16,3553	81,6123	96,1429
63	37,9254	12,0857	69,2021	47,2908	47,4289	93,1439	46,1734	15,973	29,4668	68,1024
64	96,4396	90,1049	35,3313	66,1383	81,184	87,3311	6,6546	16,8968	26,1092	95,2559
65	10,7855	55,958	48,251	34,4122	2,4099	77,7959	93,1032	17,0243	87,1275	87,0927
66	9,6069	47,3298	18,6604	26,6046	36,1956	11,1367	54,3565	27,8274	66,2309	12,6115
67	28,4348	93,1087	30,5219	76,3173	22,033	96,763	73,831	13,5464	24,8976	67,1112
68	18,8871	20,5883	98,5852	77,1544	29,74	97,2691	43,7576	4,2659	20,1114	93,4193
69	34,6879	81,4675	24,544	42,219	75,1011	40,4354	17,6558	43,9938	43,0768	21,892
70	43,36	8,4194	76,6126	55,2519	24,7457	46,4853	13,6479	2,3267	60,4973	94,0275
71	2,8841	27,5257	4,9777	96,6076	1,809	67,2995	95,5563	90,2182	99,6472	21,7251
72	51,9865	1,3651	22,2311	0,3713	86,7469	34,5902	95,7521	15,1169	22,3344	93,1526
